"","DBN","school_name","year","tot_enrollment","num_female","num_male","Number_Asian","Number_Black","Number_Hispanic","Number_Categories_Unrepresented","Number_White","Num_Students_With_Disabilities","Num_English_Lang_Learners","Num_LowIncome","Borough","grades","gym_square_footage","gym_room_function","shared","location","has_other_purpose","number_gyms","prop_female","econ_as_num","UnderrepresentedProportion","Prop_LowIncome"
"2750","13K691","Fort Greene Preparatory Academy","2016-17",218,97,121,6,133,67,4,8,56,18,180,"Brooklyn","Junior High-Intermediate-Middle",7349,"OUTDOOR YARD","Y","Outside","N",2,0.444954128440367,75.2,0.935779816513762,0.825688073394495
"2751","14K016","P.S. 016 Leonard Dunkly","2016-17",232,122,110,1,65,161,2,3,74,17,193,"Brooklyn","Elementary",594,"MULTI-PURPOSE CLASSROOM","Y","Inside","Y",2,0.525862068965517,91.6,0.982758620689655,0.831896551724138
"2752","14K016","P.S. 016 Leonard Dunkly","2016-17",232,122,110,1,65,161,2,3,74,17,193,"Brooklyn","Elementary",4176,"GYM","Y","Inside","N",2,0.525862068965517,91.6,0.982758620689655,0.831896551724138
"2753","14K017","P.S. 017 Henry D. Woodworth","2016-17",295,153,142,4,12,243,4,32,93,51,178,"Brooklyn","Elementary",1254,"MULTI-PURPOSE CLASSROOM","Y","Inside","Y",5,0.51864406779661,65.3,0.877966101694915,0.603389830508475
"2754","14K017","P.S. 017 Henry D. Woodworth","2016-17",295,153,142,4,12,243,4,32,93,51,178,"Brooklyn","Elementary",1035,"MULTI-PURPOSE ROOM","Y","Inside","Y",5,0.51864406779661,65.3,0.877966101694915,0.603389830508475
"2755","14K017","P.S. 017 Henry D. Woodworth","2016-17",295,153,142,4,12,243,4,32,93,51,178,"Brooklyn","Elementary",53051,"OUTDOOR YARD","Y","Outside","N",5,0.51864406779661,65.3,0.877966101694915,0.603389830508475
"2756","14K017","P.S. 017 Henry D. Woodworth","2016-17",295,153,142,4,12,243,4,32,93,51,178,"Brooklyn","Elementary",868,"MULTI-PURPOSE ROOM","Y","Inside","Y",5,0.51864406779661,65.3,0.877966101694915,0.603389830508475
"2757","14K017","P.S. 017 Henry D. Woodworth","2016-17",295,153,142,4,12,243,4,32,93,51,178,"Brooklyn","Elementary",896,"MULTI-PURPOSE ROOM","Y","Inside","Y",5,0.51864406779661,65.3,0.877966101694915,0.603389830508475
"2758","14K018","P.S. 018 Edward Bush","2016-17",177,76,101,1,31,143,0,2,65,26,171,"Brooklyn","Elementary",1271,"MULTI-PURPOSE ROOM","N","Inside","Y",3,0.429378531073446,80.1,0.983050847457627,0.966101694915254
"2759","14K018","P.S. 018 Edward Bush","2016-17",177,76,101,1,31,143,0,2,65,26,171,"Brooklyn","Elementary",3640,"GYM","N","Inside","Y",3,0.429378531073446,80.1,0.983050847457627,0.966101694915254
