"","DBN","school_name","year","tot_enrollment","num_female","num_male","Number_Asian","Number_Black","Number_Hispanic","Number_Categories_Unrepresented","Number_White","Num_Students_With_Disabilities","Num_English_Lang_Learners","Num_LowIncome","Borough","grades","gym_square_footage","gym_room_function","shared","location","has_other_purpose","number_gyms","prop_female","econ_as_num","UnderrepresentedProportion","Prop_LowIncome"
"2662","13K301","Satellite East Middle School","2016-17",105,49,56,16,65,16,3,5,31,18,101,"Brooklyn","Junior High-Intermediate-Middle",729,"DANCE ROOM","Y","Inside","N",4,0.466666666666667,72.6,0.8,0.961904761904762
"2663","13K301","Satellite East Middle School","2016-17",105,49,56,16,65,16,3,5,31,18,101,"Brooklyn","Junior High-Intermediate-Middle",3886,"GYM","Y","Inside","N",4,0.466666666666667,72.6,0.8,0.961904761904762
"2664","13K301","Satellite East Middle School","2016-17",105,49,56,16,65,16,3,5,31,18,101,"Brooklyn","Junior High-Intermediate-Middle",6109,"OUTDOOR YARD","Y","Outside","N",4,0.466666666666667,72.6,0.8,0.961904761904762
"2665","13K305","P.S. 305 Dr. Peter Ray","2016-17",148,75,73,12,113,12,7,4,39,13,139,"Brooklyn","Elementary",702,"MULTI-PURPOSE ROOM","Y","Inside","Y",4,0.506756756756757,80.4,0.891891891891892,0.939189189189189
"2666","13K305","P.S. 305 Dr. Peter Ray","2016-17",148,75,73,12,113,12,7,4,39,13,139,"Brooklyn","Elementary",729,"DANCE ROOM","Y","Inside","N",4,0.506756756756757,80.4,0.891891891891892,0.939189189189189
"2667","13K305","P.S. 305 Dr. Peter Ray","2016-17",148,75,73,12,113,12,7,4,39,13,139,"Brooklyn","Elementary",3886,"GYM","Y","Inside","N",4,0.506756756756757,80.4,0.891891891891892,0.939189189189189
"2668","13K305","P.S. 305 Dr. Peter Ray","2016-17",148,75,73,12,113,12,7,4,39,13,139,"Brooklyn","Elementary",6109,"OUTDOOR YARD","Y","Outside","N",4,0.506756756756757,80.4,0.891891891891892,0.939189189189189
"2669","13K307","P.S. 307 Daniel Hale Williams","2016-17",383,173,210,11,209,119,15,29,138,7,289,"Brooklyn","Elementary",4331,"GYM","N","Inside","N",3,0.451697127937337,75.2,0.89556135770235,0.754569190600522
"2670","13K307","P.S. 307 Daniel Hale Williams","2016-17",383,173,210,11,209,119,15,29,138,7,289,"Brooklyn","Elementary",5593,"OUTDOOR YARD","N","Outside","N",3,0.451697127937337,75.2,0.89556135770235,0.754569190600522
"2671","13K307","P.S. 307 Daniel Hale Williams","2016-17",383,173,210,11,209,119,15,29,138,7,289,"Brooklyn","Elementary",25851,"OUTDOOR YARD","N","Outside","N",3,0.451697127937337,75.2,0.89556135770235,0.754569190600522
"2672","13K313","Dock Street School for STEAM Studies","2016-17",137,73,64,9,91,33,1,3,39,3,106,"Brooklyn","Junior High-Intermediate-Middle",851,"AUXILIARY EXERCISE ROOM","Y","Inside","N",2,0.532846715328467,67.2,0.912408759124088,0.773722627737226
"2673","13K313","Dock Street School for STEAM Studies","2016-17",137,73,64,9,91,33,1,3,39,3,106,"Brooklyn","Junior High-Intermediate-Middle",4675,"GYM","Y","Inside","Y",2,0.532846715328467,67.2,0.912408759124088,0.773722627737226
"2674","13K350","Urban Assembly School for Music and Art","2016-17",268,186,82,2,207,50,5,4,65,5,232,"Brooklyn","High school",4554,"GYM","Y","Inside","N",6,0.694029850746269,73.8,0.977611940298508,0.865671641791045
"2675","13K350","Urban Assembly School for Music and Art","2016-17",268,186,82,2,207,50,5,4,65,5,232,"Brooklyn","High school",1127,"DANCE ROOM","Y","Inside","N",6,0.694029850746269,73.8,0.977611940298508,0.865671641791045
"2676","13K350","Urban Assembly School for Music and Art","2016-17",268,186,82,2,207,50,5,4,65,5,232,"Brooklyn","High school",925,"MULTI-PURPOSE ROOM","Y","Inside","Y",6,0.694029850746269,73.8,0.977611940298508,0.865671641791045
"2677","13K350","Urban Assembly School for Music and Art","2016-17",268,186,82,2,207,50,5,4,65,5,232,"Brooklyn","High school",690,"MULTI-PURPOSE ROOM","Y","Inside","Y",6,0.694029850746269,73.8,0.977611940298508,0.865671641791045
"2678","13K350","Urban Assembly School for Music and Art","2016-17",268,186,82,2,207,50,5,4,65,5,232,"Brooklyn","High school",315,"AUXILIARY EXERCISE ROOM","Y","Inside","N",6,0.694029850746269,73.8,0.977611940298508,0.865671641791045
"2679","13K350","Urban Assembly School for Music and Art","2016-17",268,186,82,2,207,50,5,4,65,5,232,"Brooklyn","High school",2806,"GYM","Y","Inside","N",6,0.694029850746269,73.8,0.977611940298508,0.865671641791045
"2680","13K351","The Urban Assembly Unison School","2016-17",143,62,81,15,104,19,1,4,42,15,125,"Brooklyn","Junior High-Intermediate-Middle",624,"MULTI-PURPOSE CLASSROOM","Y","Inside","Y",4,0.433566433566434,83.4,0.867132867132867,0.874125874125874
"2681","13K351","The Urban Assembly Unison School","2016-17",143,62,81,15,104,19,1,4,42,15,125,"Brooklyn","Junior High-Intermediate-Middle",624,"DANCE ROOM","Y","Inside","N",4,0.433566433566434,83.4,0.867132867132867,0.874125874125874
"2682","13K351","The Urban Assembly Unison School","2016-17",143,62,81,15,104,19,1,4,42,15,125,"Brooklyn","Junior High-Intermediate-Middle",4940,"GYM","Y","Inside","Y",4,0.433566433566434,83.4,0.867132867132867,0.874125874125874
"2683","13K351","The Urban Assembly Unison School","2016-17",143,62,81,15,104,19,1,4,42,15,125,"Brooklyn","Junior High-Intermediate-Middle",39292,"OUTDOOR YARD","Y","Outside","N",4,0.433566433566434,83.4,0.867132867132867,0.874125874125874
"2684","13K412","Brooklyn Community Arts & Media High School (BCAM)","2016-17",410,218,191,5,304,89,10,2,99,16,343,"Brooklyn","High school",672,"MULTI-PURPOSE ROOM","Y","Inside","Y",4,0.531707317073171,75.6,0.982926829268293,0.836585365853659
"2685","13K412","Brooklyn Community Arts & Media High School (BCAM)","2016-17",410,218,191,5,304,89,10,2,99,16,343,"Brooklyn","High school",651,"WEIGHT ROOM","Y","Inside","N",4,0.531707317073171,75.6,0.982926829268293,0.836585365853659
"2686","13K412","Brooklyn Community Arts & Media High School (BCAM)","2016-17",410,218,191,5,304,89,10,2,99,16,343,"Brooklyn","High school",322,"DANCE ROOM","Y","Inside","N",4,0.531707317073171,75.6,0.982926829268293,0.836585365853659
"2687","13K412","Brooklyn Community Arts & Media High School (BCAM)","2016-17",410,218,191,5,304,89,10,2,99,16,343,"Brooklyn","High school",6240,"GYM","Y","Inside","N",4,0.531707317073171,75.6,0.982926829268293,0.836585365853659
"2688","13K419","Science Skills Center High School for Science, Tec","2016-17",544,238,306,33,385,95,13,18,87,25,441,"Brooklyn","High school",4554,"GYM","Y","Inside","N",6,0.4375,66,0.90625,0.810661764705882
"2689","13K419","Science Skills Center High School for Science, Tec","2016-17",544,238,306,33,385,95,13,18,87,25,441,"Brooklyn","High school",1127,"DANCE ROOM","Y","Inside","N",6,0.4375,66,0.90625,0.810661764705882
"2690","13K419","Science Skills Center High School for Science, Tec","2016-17",544,238,306,33,385,95,13,18,87,25,441,"Brooklyn","High school",925,"MULTI-PURPOSE ROOM","Y","Inside","Y",6,0.4375,66,0.90625,0.810661764705882
"2691","13K419","Science Skills Center High School for Science, Tec","2016-17",544,238,306,33,385,95,13,18,87,25,441,"Brooklyn","High school",690,"MULTI-PURPOSE ROOM","Y","Inside","Y",6,0.4375,66,0.90625,0.810661764705882
"2692","13K419","Science Skills Center High School for Science, Tec","2016-17",544,238,306,33,385,95,13,18,87,25,441,"Brooklyn","High school",315,"AUXILIARY EXERCISE ROOM","Y","Inside","N",6,0.4375,66,0.90625,0.810661764705882
"2693","13K419","Science Skills Center High School for Science, Tec","2016-17",544,238,306,33,385,95,13,18,87,25,441,"Brooklyn","High school",2806,"GYM","Y","Inside","N",6,0.4375,66,0.90625,0.810661764705882
"2694","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",989,"MULTI-PURPOSE ROOM","N","Inside","Y",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2695","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",2030,"AUXILIARY EXERCISE ROOM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2696","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",1176,"MULTI-PURPOSE ROOM","N","Inside","Y",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2697","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",3900,"WEIGHT ROOM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2698","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",924,"AUXILIARY EXERCISE ROOM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2699","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",672,"WEIGHT ROOM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2700","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",384,"WEIGHT ROOM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2701","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",1827,"AUXILIARY EXERCISE ROOM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2702","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",3915,"MULTI-PURPOSE ROOM","N","Inside","Y",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2703","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",1679,"WEIGHT ROOM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2704","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",7840,"GYM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
"2705","13K430","Brooklyn Technical High School","2016-17",5682,2343,3339,3483,391,409,156,1243,94,0,3473,"Brooklyn","High school",4536,"GYM","N","Inside","N",14,0.412354804646251,41.8,0.168250615980289,0.611228440689898
