Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Ownership,Room Number,Square Feet,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE,Location 1
Queens,27,27,27Q226,J.H.S. 226 Virgil I. Grissom,Junior High-Intermediate-Middle,Q226,I.S. 226 - QUEENS,DOE Owned,OUTDOOR YARD 1,"40,615",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q232,P.S. 232 Lindenwood,K-8,Q232,P.S. 232 - QUEENS,DOE Owned,GYM,"3,752",GYMNASIUM,N,Inside,N,
Queens,27,27,27Q232,P.S. 232 Lindenwood,K-8,Q232,P.S. 232 - QUEENS,DOE Owned,OUTDOOR YARD 1,"2,022",OUTDOOR YARD,N,Outside,N,
Queens,27,27,27Q253,P.S. 253,Elementary,Q253,P.S. 253 - QUEENS,DOE Owned,230,"3,000",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q253,P.S. 253,Elementary,Q253,P.S. 253 - QUEENS,DOE Owned,230A,117,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q253,P.S. 253,Elementary,Q253,P.S. 253 - QUEENS,DOE Owned,230B,154,MULTI-PURPOSE ROOM,Y,Inside,Y,
Queens,27,27,27Q253,P.S. 253,Elementary,Q253,P.S. 253 -QUEENS,DOE Owned,OUTDOOR YARD 1,"22,478",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q254,P.S. 254 - The Rosa Parks School,Elementary,Q254,P.S. 254 - QUEENS,DOE Owned,201,"2,726",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q254,P.S. 254 - The Rosa Parks School,Elementary,Q254,P.S. 254 - QUEENS,DOE Owned,OUTDOOR YARD 1,"10,863",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q254,P.S. 254 - The Rosa Parks School,Elementary,Q254,P.S. 254 - QUEENS,DOE Owned,OUTDOOR YARD 2,"5,809",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q260,Frederick Douglass Academy VI High School,High school,Q465,FAR ROCKAWAY HS - Q,DOE Owned,B2,"6,426",SWIMMING POOL,Y,Inside,N,
